Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
2004-2005,17,Barcelona,es ESP,1. La Liga,1st,0.8,,,,,,,,,,,,,,,,,,,,,,,Matches
2005-2006,18,Barcelona,es ESP,1. La Liga,1st,10.1,,,,,,,,,,,,,,,,,,,,,,,Matches
2006-2007,19,Barcelona,es ESP,1. La Liga,2nd,22.0,,,,,,,,,,,,,,,,,,,,,,,Matches
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,21.9,,,,,,,,,,,,,,,,,,,,,,,Matches
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,28.0,,,,,,,,,,,,,,,,,,,,,,,Matches
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,31.2,,,,,,,,,,,,,,,,,,,,,,,Matches
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,31.8,,,,,,,,,,,,,,,,,,,,,,,Matches
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,36.3,,,,,,,,,,,,,,,,,,,,,,,Matches
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,29.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,27.8,,,,,,,,,,,,,,,,,,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,37.5,,,,,,,,,,,,,,,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,30.3,,,,,,,,,,,,,,,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,31.4,,,,,,,,,,,,,,,,,,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,33.3,2387,2,47,1034,1351,250,2383,257,185,72.0,72,28.0,1786,11517,5980,211,155,95,52,107,2076,263,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,30.1,2332,1,46,970,1343,164,2327,224,134,59.8,90,40.2,1709,10546,5575,153,168,52,63,78,2017,206,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,32.0,2538,0,48,1132,1403,208,2533,263,182,69.2,81,30.8,1860,11499,6488,220,203,63,69,78,2175,252,Matches
2020-2021,33,Barcelona,es ESP,1. La Liga,3rd,33.6,2850,0,64,1133,1687,211,2845,247,159,64.4,88,35.6,2120,13045,7076,215,222,65,57,87,2481,263,Matches
2021-2022,34,Paris S-G,fr FRA,1. Ligue 1,1st,23.9,1888,1,72,960,869,105,1888,99,64,64.6,35,35.4,1467,8651,4466,113,120,25,47,41,1667,125,Matches
2022-2023,35,Paris S-G,fr FRA,1. Ligue 1,1st,25.5,1964,5,85,953,950,136,1964,155,86,55.5,58,37.4,1684,9527,4302,100,108,38,48,66,1676,190,Matches